,Matchup,AI Wins_v3,Opponent Wins_v3,AI Win Rate_v3,Opponent Win Rate_v3,Result_v3,AI Wins_v4,Opponent Wins_v4,AI Win Rate_v4,Opponent Win Rate_v4,Result_v4,Better Version
75,Version_C_player_0+SelectiveTableConservativeChallenger,13,7,65.0,35.0,Win,13,7,65.0,35.0,Win,Draw
76,Version_C_player_0+StrategicChallenger,10,10,50.0,50.0,Draw,8,12,40.0,60.0,Loss,V3
77,Version_C_player_0+TableFirstConservativeChallenger,9,11,45.0,55.0,Loss,8,12,40.0,60.0,Loss,V3
78,Version_C_player_0+TableNonTableAgent,13,7,65.0,35.0,Win,7,13,35.0,65.0,Loss,V3
79,Version_C_player_0+Version_A_player_2,15,5,75.0,25.0,Win,10,10,50.0,50.0,Draw,V3
80,Version_C_player_0+Version_E_player_1,19,1,95.0,5.0,Win,10,10,50.0,50.0,Draw,V3
81,Version_E_player_1+Classic,16,4,80.0,20.0,Win,8,12,40.0,60.0,Loss,V3
82,Version_E_player_1+GreedyCardSpammer,15,5,75.0,25.0,Win,8,12,40.0,60.0,Loss,V3
83,Version_E_player_1+RandomAgent,11,9,55.0,45.0,Win,0,20,0.0,100.0,Loss,V3
84,Version_E_player_1+SelectiveTableConservativeChallenger,13,7,65.0,35.0,Win,12,8,60.0,40.0,Win,V3
85,Version_E_player_1+StrategicChallenger,11,9,55.0,45.0,Win,12,8,60.0,40.0,Win,V4
86,Version_E_player_1+TableFirstConservativeChallenger,10,10,50.0,50.0,Draw,9,11,45.0,55.0,Loss,V3
87,Version_E_player_1+TableNonTableAgent,14,6,70.0,30.0,Win,14,6,70.0,30.0,Win,Draw
88,Version_E_player_1+Version_A_player_2,14,6,70.0,30.0,Win,9,11,45.0,55.0,Loss,V3
89,Version_E_player_1+Version_C_player_0,14,6,70.0,30.0,Win,10,10,50.0,50.0,Draw,V3
90,Overall,1318,482,73.22,26.78,Win,1123,677,62.39,37.61,Win,V3
